title,joy,love,sadness,surprise,fear,anger,created_at,sentiment
"German Army working around the clock to help India with its Covid crisis, says envoy Lindner  https://t.co/5VXpoZgyhq via @ThePrintIndia #COVIDEmergency2021 #COVIDSecondWaveInIndia #CovidIndia",0.2864615023136139,0.0039345882833004,0.017397595569491386,0.003067389130592346,0.364157110452652,0.32498177886009216,2021-04-27 23:16:27 UTC,NEGATIVE
"TBC, this is an old report. The point is that Indian government is known to use national and international trolls to run propaganda campaigns or to cover up for its failures via domestic and international social media covert operations. #CovidIndiaInfo #COVIDindia2021 #CovidIndia",0.004797937348484993,0.0010870361002162099,0.003225806402042508,0.0007990467129275203,0.11985857039690018,0.8702316880226135,2021-04-27 22:04:08 UTC,NEGATIVE
"""Most government-linked disinformation efforts were focused domestically, researchers concluded. But at least seven countries had tried to influence views outside their borders: China, India, Iran, Pakistan, Russia, Saudi Arabia and Venezuela."" #CovidIndia  https://t.co/19loorkICL",0.5694877505302429,0.004627997521311045,0.0292888805270195,0.003666361328214407,0.08113443106412888,0.3117945194244385,2021-04-27 22:01:22 UTC,NEGATIVE
"The news out of #India is devastating. #CovidIndia is hurting the country.  The Bay Area is helping. @6, why a Gilroy dentist is collecting CPAP and BiPAP machines like these.  “It is heartbreaking.”   You have one at home and not using it? On @nbcbayarea   https://t.co/KBJsB1sfYd  https://t.co/QnpoLEz1cV",0.001317699789069593,0.0004309286014176905,0.9970843195915222,0.00012704660184681416,0.00029867616831324995,0.0007412881823256612,2021-04-27 21:56:38 UTC,NEGATIVE
"Second COVID wave has hampered India's economic recovery by 15%, unemployment to rise - economist  #COVID19 #CovidIndia  https://t.co/oXj7rHoBIX",0.009377572685480118,0.0015481874579563737,0.6851991415023804,0.0013868866953998804,0.08314899355173111,0.21933911740779877,2021-04-27 21:46:00 UTC,NEGATIVE
"""It could prove to be a 'fatal superspreader' event given the ill-equipped health care system in the region.""   COVID: India to allow Amarnath pilgrimage despite surge in cases  https://t.co/8qmGgvMN2O",0.0025901058688759804,0.00038166699232533574,0.9794573187828064,0.00037254736525937915,0.010826723650097847,0.006371577735990286,2021-04-27 21:28:49 UTC,NEGATIVE
"What people should keep in mind is that it is a public health nightmare in India **in normal times**----the world's worst air pollution, disease, filth. Undrinkable water. Overcrowding. Add the #COVID  pandemic to that and you have the unthinkable. #CovidIndia  #SaveIndia",0.007429007440805435,0.0005621073651127517,0.9334482550621033,0.0008853210601955652,0.05028005316853523,0.00739543791860342,2021-04-27 21:23:59 UTC,NEGATIVE
"I am working with 3 NGOs on the ground in India raising funds for monthly groceries for families and people with disabilities in rural India. If you are able and have an Indian bank account, please please reach out to me. The need is urgent #CovidIndia",0.14605188369750977,0.006415121257305145,0.08041053265333176,0.002219437388703227,0.5428133010864258,0.2220897674560547,2021-04-27 20:36:57 UTC,POSITIVE
The Union Territory of Ladakh has announced free vaccination to all its residents who are eligible for Phase III of the Covid vaccination drive  #COVIDVaccination #CovidIndia    https://t.co/39gfl4IPkX,0.979009211063385,0.0017955562798306346,0.0030977732967585325,0.0007631517946720123,0.009905805811285973,0.005428549367934465,2021-04-27 20:20:00 UTC,NEGATIVE
"National Conference president @OmarAbdullah has started using his Twitter account to amplify messages of people who are in need of oxygen, plasma, ICU beds or medicines across the country   (@mirehsankhaliq reports)   #CovidIndia #COVID19India    https://t.co/JOAtic8yFE",0.3185713589191437,0.005672070197761059,0.07862455397844315,0.0026755263097584248,0.4611433446407318,0.1333131194114685,2021-04-27 20:00:01 UTC,NEGATIVE
